day_of_week	perf_date	perf_time	title	venue	perf_link	category	rating	website	event	image_url
Wednesday	21/08/2019	14:15	Playthings	5: Kick Point King Edward School	https://tickets.fringetheatre.ca/listprices.php?performanceId=601:22430	Physical theatre	Parental Guidance (14+)	www.affairofhonor.ca	Lottery	https://eventotron.imgix.net/05-26-2019-012706-4747.jpg
Wednesday	21/08/2019	14:15	False Profits	10: Acacia Hall	https://tickets.fringetheatre.ca/listprices.php?performanceId=601:21788	Comedy	Parental Guidance (14+)	www.jeffleardcomedy.com	Lottery	https://eventotron.imgix.net/05-27-2019-020130-4990.jpg
Wednesday	21/08/2019	14:30	Rabbit Stew: Uncensored	7: Chianti Yardbird Suite	https://tickets.fringetheatre.ca/listprices.php?performanceId=601:22053	Magic	Parental Guidance (14+)	www.benpricemagic.com	Lottery	https://eventotron.imgix.net/05-27-2019-162051-4270.jpg
Wednesday	21/08/2019	14:30	Erik de Waal's TROLLS, BULLIES & ROCK STARS or A Kerfuffle in a Doodlesack	BYOV19 - 13: Old Strathcona Public Library	https://tickets.fringetheatre.ca/listprices.php?performanceId=601:23015	Storytelling	Parental Guidance (14+)	#	BYOV	https://eventotron.imgix.net/05-27-2019-033435-3383.jpg
Wednesday	21/08/2019	14:30	Baba Yaga	6: Strathcona Community League	https://tickets.fringetheatre.ca/listprices.php?performanceId=601:21963	Theatre for Young Audiences	Family Friendly	www.albertamusicaltheatre.ca	Lottery	https://eventotron.imgix.net/05-27-2019-210741-6012.jpg
Wednesday	21/08/2019	14:30	Triassic Parq	BYOV19 - 17: The Roxy on Gateway	https://tickets.fringetheatre.ca/listprices.php?performanceId=601:22950	Music/Musical Theatre	Adult	facebook.com/UniformTheatre	BYOV	https://eventotron.imgix.net/05-17-2019-191630-3591.jpg
Wednesday	21/08/2019	14:45	After Miss Julie	BYOV19 - 22: The Grindstone - Luther Centre	https://tickets.fringetheatre.ca/listprices.php?performanceId=601:21654	Drama	Adult	www.lodestartheatre.org	BYOV	https://eventotron.imgix.net/05-26-2019-000351-8607.jpg
Wednesday	21/08/2019	14:45	Notre Dame of Paris-The Musical	1: ATB Westbury Theatre	https://tickets.fringetheatre.ca/listprices.php?performanceId=601:21944	Music/Musical Theatre	Parental Guidance (14+)	www.musicalmania.org	Lottery	https://eventotron.imgix.net/05-28-2019-032013-1717.jpg
Wednesday	21/08/2019	15:00	LUB DUB	BYOV19 - 23: The Grindstone - Luther Room	https://tickets.fringetheatre.ca/listprices.php?performanceId=601:21694	Cabaret/Variety	Parental Guidance (14+)	#	BYOV	https://eventotron.imgix.net/05-27-2019-012206-3036.jpg
Wednesday	21/08/2019	15:00	Constellations	BYOV19 - 28: The Playhouse	https://tickets.fringetheatre.ca/listprices.php?performanceId=601:22905	Drama	Parental Guidance (14+)	#	BYOV	https://eventotron.imgix.net/05-22-2019-204806-9161.jpg
Wednesday	21/08/2019	15:00	A Momentary Lapse	BYOV19 - 12: Varscona Theatre	https://tickets.fringetheatre.ca/listprices.php?performanceId=601:23078	Comedy	Parental Guidance (14+)	teatroQ.com	BYOV	https://eventotron.imgix.net/05-27-2019-200634-8978.jpg
Wednesday	21/08/2019	15:00	Check Me Out	BYOV19 - 15: Cool Air Rentals Stage at Holy Trinity Anglican Church	https://tickets.fringetheatre.ca/listprices.php?performanceId=601:22276	Comedy/Drama	Parental Guidance (14+)	#	BYOV	https://eventotron.imgix.net/05-27-2019-181128-2417.jpg
Wednesday	21/08/2019	15:00	LIGHTS! CAMERA! ODD JOBS?	3: Global News Walterdale Theatre	https://tickets.fringetheatre.ca/listprices.php?performanceId=601:21826	Storytelling	Parental Guidance (14+)	#	Lottery	https://eventotron.imgix.net/05-31-2019-085946-9247.jpg
Wednesday	21/08/2019	15:15	The Slipknot	BYOV19 - 16: The Sanctuary Stage at Holy Trinity Anglican Church	https://tickets.fringetheatre.ca/listprices.php?performanceId=601:22612	Comedy	Parental Guidance (14+)	https://www.pkfproductions.com	BYOV	https://eventotron.imgix.net/05-23-2019-032718-9295.jpg
Wednesday	21/08/2019	15:30	Hello	BYOV19 - 36: La Cite Auditorium	https://tickets.fringetheatre.ca/listprices.php?performanceId=601:21467	Comedy/Drama	Parental Guidance (14+)	#	BYOV	https://eventotron.imgix.net/05-28-2019-005448-7785.jpg
Wednesday	21/08/2019	15:30	Field Zoology 101	BYOV19 - 37: Auditorium at Campus Saint-Jean	https://tickets.fringetheatre.ca/listprices.php?performanceId=601:22742	Comedy	Parental Guidance (14+)	#	BYOV	https://eventotron.imgix.net/05-27-2019-223539-6110.jpg
Wednesday	21/08/2019	15:30	Big Ol Show	BYOV19 - 21: The Grindstone - Comedy Theatre	https://tickets.fringetheatre.ca/listprices.php?performanceId=601:21358	Improv/Sketch	Parental Guidance (14+)	#	BYOV	https://eventotron.imgix.net/05-10-2018-214940-4074.jpg
Wednesday	21/08/2019	15:30	INK	BYOV19 - 35: La Cite francophone Theatre	https://tickets.fringetheatre.ca/listprices.php?performanceId=601:21421	Physical theatre	Family Friendly	jamesandjamesy.com/ink	BYOV	https://eventotron.imgix.net/05-28-2019-072259-3446.jpg
Wednesday	21/08/2019	15:45	Game of Crohn's	9: TELUS Phone Museum	https://tickets.fringetheatre.ca/listprices.php?performanceId=601:21732	Storytelling	Family Friendly	#	Lottery	https://eventotron.imgix.net/05-28-2019-184203-4935.jpg
Wednesday	21/08/2019	15:45	SpinS	11: Nordic Studio Theatre	https://tickets.fringetheatre.ca/listprices.php?performanceId=601:22128	Physical theatre	Family Friendly	https://www.janoahanygoodjokes.com/spins	Lottery	https://eventotron.imgix.net/05-26-2019-222543-6974.jpg
Wednesday	21/08/2019	15:45	Man Cave; a One-Man Sci-fi Climate Change Tragicomedy!	4: Academy at King Edward	https://tickets.fringetheatre.ca/listprices.php?performanceId=601:22588	Comedy/Drama	Parental Guidance (14+)	timmooneyrep.com	Lottery	https://eventotron.imgix.net/05-29-2019-221111-5050.jpg
Wednesday	21/08/2019	16:00	It's A Dog's Life	BYOV19 - 50: Woodcroft Community Hall	https://tickets.fringetheatre.ca/listprices.php?performanceId=601:23053	Music/Musical Theatre	Family Friendly	www.edmontonmusicaltheatre.com	BYOV	https://eventotron.imgix.net/05-27-2019-231723-7477.jpg
Wednesday	21/08/2019	16:00	Anna and the Substitute Teacher	8: Old Strat Perf Arts Centre (OSPAC)	https://tickets.fringetheatre.ca/listprices.php?performanceId=601:21990	Comedy	Family Friendly	adamschwartzcomedy.com	Lottery	https://eventotron.imgix.net/05-12-2019-172503-1659.jpg
Wednesday	21/08/2019	16:00	Hits Like a Girl	BYOV19 - 38: Sue Paterson Memorial Theatre	https://tickets.fringetheatre.ca/listprices.php?performanceId=601:23046	Music/Musical Theatre	Parental Guidance (14+)	www.devonmoremusic.com	BYOV	https://eventotron.imgix.net/04-02-2019-013519-9663.jpg
Wednesday	21/08/2019	16:00	He Wants to Run!	2: Big Rock Backstage Theatre	https://tickets.fringetheatre.ca/listprices.php?performanceId=601:21883	Comedy/Drama	Parental Guidance (14+)	hewantstorun.com	Lottery	https://eventotron.imgix.net/04-04-2019-013810-5359.jpg
Wednesday	21/08/2019	16:00	Border Breakdown	BYOV19 - 34: Varscona Hotel (Thomas Bennett Room)	https://tickets.fringetheatre.ca/listprices.php?performanceId=601:21198	Comedy	Parental Guidance (14+)	inadmissibleproductions.com	BYOV	https://eventotron.imgix.net/05-24-2019-055325-7799.jpg
Wednesday	21/08/2019	16:00	Franz Ferdinand Must Die	BYOV19 - 13: Old Strathcona Public Library	https://tickets.fringetheatre.ca/listprices.php?performanceId=601:23062	Storytelling	Parental Guidance (14+)	stillyourfriend.com	BYOV	https://eventotron.imgix.net/04-01-2019-211922-2245.jpg
Wednesday	21/08/2019	16:15	For Science!	5: Kick Point King Edward School	https://tickets.fringetheatre.ca/listprices.php?performanceId=601:22980	Comedy	Parental Guidance (14+)	www.smallmatters.ca	Lottery	https://eventotron.imgix.net/05-27-2018-233403-9486.jpg
Wednesday	21/08/2019	16:15	Artisanal Intelligence	10: Acacia Hall	https://tickets.fringetheatre.ca/listprices.php?performanceId=601:21781	Comedy/Drama	Family Friendly	spectheatre.wordpress.com	Lottery	https://eventotron.imgix.net/05-27-2019-161601-2287.jpg
Wednesday	21/08/2019	16:30	In Ireland We Rented a Car from Criminals	7: Chianti Yardbird Suite	https://tickets.fringetheatre.ca/listprices.php?performanceId=601:22021	Comedy/Drama	Parental Guidance (14+)	#	Lottery	https://eventotron.imgix.net/04-26-2019-163826-6180.jpg
Wednesday	21/08/2019	16:30	To Bee or Not to Bee	6: Strathcona Community League	https://tickets.fringetheatre.ca/listprices.php?performanceId=601:21979	Theatre for Young Audiences	Family Friendly	www.ptco.org/tobee	Lottery	https://eventotron.imgix.net/05-28-2019-153639-6649.jpg
Wednesday	21/08/2019	16:30	You Are Happy	BYOV19 - 19: Sugar Swing Ballroom: Upstairs	https://tickets.fringetheatre.ca/listprices.php?performanceId=601:21183	Comedy/Drama	Parental Guidance (14+)	https://www.blarneyyeg.com/	BYOV	https://eventotron.imgix.net/05-27-2019-165600-9132.jpg
Wednesday	21/08/2019	16:30	Colin Mochrie and Friends	BYOV19 - 20: Garneau Theatre	https://tickets.fringetheatre.ca/listprices.php?performanceId=601:22533	Comedy	Parental Guidance (14+)	#	BYOV	https://eventotron.imgix.net/05-29-2019-232949-3747.jpg
Wednesday	21/08/2019	16:30	Off Book: The Improvised Musical	BYOV19 - 17: The Roxy on Gateway	https://tickets.fringetheatre.ca/listprices.php?performanceId=601:22805	Improv/Sketch	Parental Guidance (14+)	rapidfiretheatre.com	BYOV	https://eventotron.imgix.net/05-29-2019-200820-5715.jpg
Wednesday	21/08/2019	16:30	Crazy For Dick Tricks: A Dirk Darrow Investigation	BYOV19 - 18: Sugar Swing Ballroom: Main Floor	https://tickets.fringetheatre.ca/listprices.php?performanceId=601:22825	Magic	Parental Guidance (14+)	www.dirkdarrow.com	BYOV	https://eventotron.imgix.net/05-27-2019-200438-9886.jpg
Wednesday	21/08/2019	16:30	She's Not Him And He's Not Her	BYOV19 - 14: The de Villars Jones LLP Stage at Holy Trinity Church	https://tickets.fringetheatre.ca/listprices.php?performanceId=601:21301	Comedy	Family Friendly	empressofblandingsproductions.wordpress.com	BYOV	https://eventotron.imgix.net/05-27-2019-230730-1655.jpg
Wednesday	21/08/2019	16:45	Whose Rhyme is it Anyway	BYOV19 - 23: The Grindstone - Luther Room	https://tickets.fringetheatre.ca/listprices.php?performanceId=601:21678	Improv/Sketch	Parental Guidance (14+)	#	BYOV	https://eventotron.imgix.net/05-24-2019-184316-1509.jpg
Wednesday	21/08/2019	17:00	TWO	BYOV19 - 12: Varscona Theatre	https://tickets.fringetheatre.ca/listprices.php?performanceId=601:21329	Comedy	Parental Guidance (14+)	#	BYOV	https://eventotron.imgix.net/05-27-2019-213650-8601.jpg
Wednesday	21/08/2019	17:00	THE WALK IN THE SNOW: The True Story of Lise Meitner	3: Global News Walterdale Theatre	https://tickets.fringetheatre.ca/listprices.php?performanceId=601:22323	Storytelling	Parental Guidance (14+)	#	Lottery	https://eventotron.imgix.net/05-02-2019-194713-7207.jpg
Wednesday	21/08/2019	17:00	The 4th Graders Present an Unnamed Love-Suicide	BYOV19 - 42: 99ten	https://tickets.fringetheatre.ca/listprices.php?performanceId=601:22161	Comedy/Drama	Parental Guidance (14+)	#	BYOV	https://eventotron.imgix.net/06-10-2019-215843-4209.jpg
Wednesday	21/08/2019	17:00	The Thin Grey Line	BYOV19 - 15: Cool Air Rentals Stage at Holy Trinity Anglican Church	https://tickets.fringetheatre.ca/listprices.php?performanceId=601:21271	Comedy	Parental Guidance (14+)	#	BYOV	https://eventotron.imgix.net/05-23-2019-013945-9999.jpg
Wednesday	21/08/2019	17:00	Girl Brain Takes the Fringe!	BYOV19 - 22: The Grindstone - Luther Centre	https://tickets.fringetheatre.ca/listprices.php?performanceId=601:21646	Comedy	Parental Guidance (14+)	girlbrainyeg.com	BYOV	https://eventotron.imgix.net/05-12-2019-002551-5950.jpg
Wednesday	21/08/2019	17:15	Dandelion	1: ATB Westbury Theatre	https://tickets.fringetheatre.ca/listprices.php?performanceId=601:22879	Comedy	Family Friendly	JamesandJamesy.com	Lottery	https://eventotron.imgix.net/05-28-2019-081151-3466.jpg
Wednesday	21/08/2019	17:15	One Man Star Wars	BYOV19 - 37: Auditorium at Campus Saint-Jean	https://tickets.fringetheatre.ca/listprices.php?performanceId=601:21574	Comedy/Drama	Family Friendly	onemanstarwars.com	BYOV	https://eventotron.imgix.net/05-29-2019-185144-2050.jpg
Wednesday	21/08/2019	17:15	Blackout Sketch Comedy	BYOV19 - 21: The Grindstone - Comedy Theatre	https://tickets.fringetheatre.ca/listprices.php?performanceId=601:23023	Comedy	Parental Guidance (14+)	www.grindstonetheatre.ca	BYOV	https://eventotron.imgix.net/05-29-2019-020609-5100.jpg
Wednesday	21/08/2019	17:15	MUTTNIK	BYOV19 - 36: La Cite Auditorium	https://tickets.fringetheatre.ca/listprices.php?performanceId=601:21459	Comedy/Drama	Parental Guidance (14+)	bctheatricals.com	BYOV	https://eventotron.imgix.net/04-22-2019-082156-3755.jpg
Wednesday	21/08/2019	17:15	JoyRide	BYOV19 - 28: The Playhouse	https://tickets.fringetheatre.ca/listprices.php?performanceId=601:21401	Comedy/Drama	Adult	#	BYOV	https://eventotron.imgix.net/06-10-2019-221118-2249.jpg
Wednesday	21/08/2019	17:30	Marcus Ryan - Walk This Qué	BYOV19 - 13: Old Strathcona Public Library	https://tickets.fringetheatre.ca/listprices.php?performanceId=601:22871	Storytelling	Family Friendly	www.itsmarcusryan.com	BYOV	https://eventotron.imgix.net/05-27-2019-185156-6771.jpg
Wednesday	21/08/2019	17:30	Fake Ghost Tours	BYOV19 - 43: 85th and Gateway	https://tickets.fringetheatre.ca/listprices.php?performanceId=601:21627	Comedy	Parental Guidance (14+)	www.fakeghosttours.com	BYOV	https://eventotron.imgix.net/05-27-2019-223605-1933.jpg
Wednesday	21/08/2019	17:45	You Belong Here	BYOV19 - 38: Sue Paterson Memorial Theatre	https://tickets.fringetheatre.ca/listprices.php?performanceId=601:22580	Storytelling	Parental Guidance (14+)	www.MartinDockery.com	BYOV	https://eventotron.imgix.net/05-14-2019-051358-7942.jpg
Wednesday	21/08/2019	17:45	Dangerous When Wet: Booze, Sex, and My Mother	4: Academy at King Edward	https://tickets.fringetheatre.ca/listprices.php?performanceId=601:22084	Comedy/Drama	Adult	www.jamiebrickhouse.com	Lottery	https://eventotron.imgix.net/05-26-2019-164716-2073.jpg
Wednesday	21/08/2019	17:45	Beat the Devil!	11: Nordic Studio Theatre	https://tickets.fringetheatre.ca/listprices.php?performanceId=601:21858	Drama	Parental Guidance (14+)	Anthropostheatre.com	Lottery	https://eventotron.imgix.net/06-08-2019-055902-6834.jpg
Wednesday	21/08/2019	17:45	THE MASTER & MARGARITA: the remix	BYOV19 - 35: La Cite francophone Theatre	https://tickets.fringetheatre.ca/listprices.php?performanceId=601:21430	Comedy/Drama	Parental Guidance (14+)	theatersimple.org/the-master-margarita	BYOV	https://eventotron.imgix.net/03-26-2019-222907-4886.jpg
Wednesday	21/08/2019	17:45	Jung & Crazy	9: TELUS Phone Museum	https://tickets.fringetheatre.ca/listprices.php?performanceId=601:21764	Comedy/Drama	Parental Guidance (14+)	www.jungandcrazy.com	Lottery	https://eventotron.imgix.net/05-27-2019-184934-9204.jpg
Wednesday	21/08/2019	18:00	Monica vs. The Internet: Tales of a Social Justice Warrior	8: Old Strat Perf Arts Centre (OSPAC)	https://tickets.fringetheatre.ca/listprices.php?performanceId=601:22009	Storytelling	Parental Guidance (14+)	#	Lottery	https://eventotron.imgix.net/05-26-2019-061822-7948.jpg
Wednesday	21/08/2019	18:00	Merk deux Soleil	BYOV19 - 31: The Sewing Machine Factory	https://tickets.fringetheatre.ca/listprices.php?performanceId=601:22912	Comedy	Adult	#	BYOV	https://eventotron.imgix.net/05-23-2019-203017-3345.jpg
Wednesday	21/08/2019	18:00	Ron & Wayne	2: Big Rock Backstage Theatre	https://tickets.fringetheatre.ca/listprices.php?performanceId=601:21911	Improv/Sketch	Parental Guidance (14+)	#	Lottery	https://eventotron.imgix.net/05-27-2019-233646-5663.jpg
Wednesday	21/08/2019	18:15	Hack	BYOV19 - 18: Sugar Swing Ballroom: Main Floor	https://tickets.fringetheatre.ca/listprices.php?performanceId=601:21153	Drama	Adult	#	BYOV	https://eventotron.imgix.net/05-27-2019-231910-4310.jpg
